,Unnamed: 0,track_id,track_name,artist_name,acousticness,energy,danceability,duration_ms,liveness,tempo,valence,release_date
3176,3193,1VZLEW5ZfcAbKZ94XQiSZF,Close To You,Frank Ocean,0.192,0.6729999999999999,0.8270000000000001,85754,0.146,78.007,0.779,2016-08-20
3177,3194,3NWTRZ0A8xKlBP1qgNftql,Special Affair,The Internet,0.183,0.409,0.795,176187,0.112,120.095,0.518,2015-06-26
3178,3195,5497yyygT4ijwXH4swmQ86,Round n Round,Landon Cube,0.0666,0.474,0.581,184528,0.106,77.976,0.185,2018-04-24
3179,3196,2p9sprAX27D6U5cuSE9NsM,When I B On Tha Mic,Rakim,0.0521,0.486,0.8440000000000001,222933,0.0544,95.897,0.8,1999-11-30
3180,3197,2AgnbuzvnfPvq1sAYNB4pj,"Finish Line / Drown (feat. T-Pain, Kirk Franklin, Eryn Allen Kane & Noname)",Chance the Rapper,0.617,0.609,0.456,406983,0.0724,86.368,0.41,2016-05-27
3181,3198,6s1uObcOTyiLlm22qRf12y,Terminal Sex,Pouya,0.504,0.418,0.917,204965,0.0974,117.976,0.486,2016-08-05
3182,3199,00t7QTffOR3SA3L1BvSQVq,Suicidal Thoughts,The Notorious B.I.G.,0.44,0.505,0.506,170227,0.0938,76.016,0.0788,1994-09-13
3183,3200,2tOZtdbkAMQASWokLvSlzj,Overnight Celebrity,Twista,0.182,0.792,0.828,233360,0.281,134.19899999999998,0.777,2004-01-27
3184,3201,2aNdXtCtyoB2KrUh7pJYxO,Whole Lot,21 Savage,0.188,0.537,0.916,313987,0.115,123.02,0.223,2017-09-23
3185,3202,3NelcGZ46JmV9LqOD1pnxA,Faith (feat. Quavo),NAV,0.758,0.61,0.527,199973,0.0882,157.1,0.5489999999999999,2018-05-18
3186,3203,5qhlC4Rzals34zxovrPzKp,Ice Box,Omarion,0.189,0.731,0.775,256427,0.129,131.105,0.821,2006-12-26
3187,3204,5RIVoVdkDLEygELLCniZFr,Watch Me (Whip / Nae Nae),Silentó,0.247,0.759,0.821,185143,0.321,140.01,0.962,2015-05-04
3188,3205,222dTwr5XeEgAzEtsrQA0R,Headlights,Eminem,0.152,0.782,0.688,343032,0.8029999999999999,146.32399999999996,0.453,2013-11-05
3189,3206,1uQbeHF6znPkD99pDGLvRN,Vivrant Thing - Club Mix,Q-Tip,0.0063100000000000005,0.698,0.914,190440,0.0575,99.034,0.613,2012-06-12
3190,3207,5FsJ8AUxW1KBypdhFvbdkd,PIE,Future,0.14400000000000002,0.6,0.755,211240,0.117,155.982,0.652,2017-07-27
